codeCn,cn,codePinyin,pinyin,codeEn,en,codeFr,fr,isFavorite
aabq,顺其自然,sqvr,shùn qí zì rán ,, Go with the flow,, F.Aller avec le courant,
aamj,啧啧称奇,vvcq,zé zé chēng qí ,, be surprised at sth outstanding and express one's thoughts,, F.faire claquer sa langue de surprise et d'admiration,
aamt,愤愤不平,ffbp,fèn fèn bú píng ,, be indignant ; feel aggrieved ; be resentful,, F.indigné ; outré ; contrarié,
ab,八,b,bā ,, eight,, F.huit,
abbmo,顺着那条路，大约有一英里,szntl,shùn zhe nà tiáo lù ，dà yuē yǒu yī yīng lǐ ,isaom, It’s about one mile over that way.,ceaeu," F.C'est à environ un mile,dans cette direction",
abhd,黑白分明,hbfm,hēi bái fèn míng ,, in sharp contrast between black and white ; right and wrong is clearly obvious,, F.bien tranché ; clair et distinct,
aciy,黄毛丫头,hmyt,huáng máo yā tóu ,, a chit of a girl ; a silly little girl,, F.jeune fille,
acla,横七竖八,hqsb,héng qī shù bā ,, in disorder ; at sixes and sevens,, F.sens dessus dessous ; pêle-mêle ; tout en désordre,
acm,黄花菜,hhi,huáng huā cài ,, day lily ; citron daylily,, F.hémérocalle,
acyr,顾此失彼,gisb,gù cǐ shī bǐ ,, have too many things to take care of at the same time,, F.vouloir courir deux lièvres à la fois ; ne pas pouvoir penser à tout,
acyt,真枪实弹 ,zqsd,zhēn qiāng shí dàn  ,, real guns and bullets ; live ammunition,, F.à armes et balles réelles,
ad,八月,by,bā yuè ,, august,, F.août,
adu,共青团,gqt,gòng qīng tuán ,, the Communist Youth League,, F.ligue de la jeunesse communiste ,
aebc,贪生怕死,tspu,tān shēng pà sǐ ,, cravenly cling to life instead of braving death ; care for nothing but saving one's skin ; be mortally afraid of death,," F.instinct de conservation, peur de la mort ; craindre pour sa peau",
aeg,责任感   ,vrg,zé rèn gǎn    ,, sense of responsibility,, F.sentiment du devoir ; sens des responsabilités,
aeg,责任心    ,vrx,zé rèn xīn     ,, sense of responsibility,, F.sens de la responsabilité ,
aei,贺年片,hnp,hè nián piàn ,, new Year card,, F.carte de vœux de bonne année ; carte de félicitation pour le Nouvel An,
aej,责任制    ,vrz,zé rèn zhì     ,, responsibility,, F.système de responsabilité au travail ,
aen,贵金属,gjs,guì jīn shǔ ,, noble or precious metal,," F.métaux précieux, nobles",
aerp,横生枝节,hszj,héng shēng zhī jiē ,, side issues of new problems unexpectedly crop up ; raise obstacles ; deliberately complicate an issue,, F.faire des complications,
aeyh,顾全大局,gqdj,gù quán dà jú ,, take the interests of the whole into account,, F.tenir compte de la situation dans son ensemble,
afeq,贪脏枉法,tvwf,tān zāng wǎng fǎ ,,take bribes and bend the law ; pervert justice for a bribe,, F.vénal ; corrompu,
afm,横坐标,hvb,héng zuò biāo ,, abscissa,, F.abscisse,
afme,质量标准,zlbz,zhì liàng biāo zhǔn ,, quality standard,, F.normes de qualité,
afyy,哄堂大笑,htdx,hǒng táng dà xiào ,, the whole room rocking with laughter,, F.toute la salle éclate de rire ; hilarité générale,
agag,负债,fz,fù zhài ,, be in debt ; incur debts ; libialities,, F.être endetté ; avoir des dettes ; contracter des dettes ; débit,
agag,供货,gh,gòng huò ,, supply of products,, F.fourniture de marchandises,
agag,赞颂,vu,zàn sòng ,, extol ; eulogize ; sing the praises of,, F.louer ; chanter les louanges de ,
agal,供职,gz,gòng zhí ,, hold office,, F.remplir une fonction publique,
agaq,赞赏 ,vs,zàn shǎng  ,, appreciate ; admire,, F.louer ; admirer ; apprécier,
agat,负责,fv,fù zé ,, be in charge of ; conscientious ; be responsible for       ,, F.assumer ; avoir la responsabilité de ; être chargé de,
agb,兵,b,bīng ,, soldier ; troops,, F.soldat,
agbg,烘箱,hx,hōng xiāng ,, oven,, F.séchoir ; étuve,
agcg,烦乱,fl,fán luàn ,, upset,, F.dérangé,
agcg,货色,hu,huò sè ,, goods ; stuff ; trash ; rubbish,, F.marchandises ; articles ; espèces et qualité des marchandises,
agcg,积肥,jf,jī féi ,, collect manure ; farmyard manure ; store compost,," F.accumuler des engrais, du fumier",
agci,贪吃,tc,tān chī ,, greedy,, F.gourmand ; glouton ; gourmandise ; gloutonnerie,
